COD_CNAE;DISC_CNAE;CLA_RISCO
2211100;Fabricação de pneumáticos e de câmaras-de-ar;Baixo Risco
2212900;Reforma de pneumáticos usados;Baixo Risco
2221800;Fabricação de laminados planos e tubulares de material plástico;Baixo Risco
2223400;Fabricação de tubos e acessórios de material plástico para uso na construção;Baixo Risco
2229301;Fabricação de artefatos de material plástico para uso pessoal e doméstico;Baixo Risco
2229302;Fabricação de artefatos de material plástico para usos industriais;Baixo Risco
2311700;Fabricação de vidro plano e de segurança;Baixo Risco
2319200;Fabricação de artigos de vidro;Baixo Risco
2320600;Fabricação de cimento;Baixo Risco
2330301;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;Baixo Risco
2330302;Fabricação de artefatos de cimento para uso na construção;Baixo Risco
2330303;Fabricação de artefatos de fibrocimento para uso na construção;Baixo Risco
2330304;Fabricação de casas pré-moldadas de concreto;Baixo Risco
2330305;Preparação de massa de concreto e argamassa para construção;Baixo Risco
2342701;Fabricação de azulejos e pisos;Baixo Risco
2349401;Fabricação de material sanitário de cerâmica;Baixo Risco
2391501;Britamento de pedras, exceto associado à extração;Baixo Risco
2391502;Aparelhamento de pedras para construção, exceto associado à extração;Baixo Risco
2392300;Fabricação de cal e gesso;Baixo Risco
2399102;Fabricação de abrasivos;Baixo Risco
2411300;Produção de ferro-gusa;Baixo Risco
2412100;Produção de ferroligas;Baixo Risco
2421100;Produção de semiacabados de aço;Baixo Risco
2422901;Produção de laminados planos de aço ao carbono, revestidos ou não;Baixo Risco
2422902;Produção de laminados planos de aços especiais;Baixo Risco
2423701;Produção de tubos de aço sem costura;Baixo Risco
2423702;Produção de laminados longos de aço, exceto tubos;Baixo Risco
2424501;Produção de arames de aço;Baixo Risco
2424502;Produção de relaminados, trefilados e perfilados de aço, exceto arames;Baixo Risco
2431800;Produção de tubos de aço com costura;Baixo Risco
2439300;Produção de outros tubos de ferro e aço;Baixo Risco
2441501;Produção de alumínio e suas ligas em formas primárias;Baixo Risco
2441502;Produção de laminados de alumínio;Baixo Risco
2442300;Metalurgia dos metais preciosos;Baixo Risco
2443100;Metalurgia do cobre;Baixo Risco
2449101;Produção de zinco em formas primárias;Baixo Risco
2449102;Produção de laminados de zinco;Baixo Risco
2449103;Fabricação de ânodos para galvanoplastia;Baixo Risco
2449199;Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente;Baixo Risco
2451200;Fundição de ferro e aço;Baixo Risco
2452100;Fundição de metais não ferrosos e suas ligas;Baixo Risco
2511000;Fabricação de estruturas metálicas;Baixo Risco
2512800;Fabricação de esquadrias de metal;Baixo Risco
2513600;Fabricação de obras de caldeiraria pesada;Baixo Risco
2521700;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;Baixo Risco
2531401;Produção de forjados de aço;Baixo Risco
2531402;Produção de forjados de metais não ferrosos e suas ligas;Baixo Risco
2532201;Produção de artefatos estampados de metal;Baixo Risco
2532202;Metalurgia do pó;Baixo Risco
2539001;Serviços de usinagem, tornearia e solda;Baixo Risco
2541100;Fabricação de artigos de cutelaria;Baixo Risco
2542000;Fabricação de artigos de serralheria, exceto esquadrias;Baixo Risco
2543800;Fabricação de ferramentas;Baixo Risco
2550101;Fabricação de equipamento bélico pesado, exceto veículos militares de combate;Baixo Risco
2550102;Fabricação de armas de fogo, outras armas e munições;Baixo Risco
2592601;Fabricação de produtos de trefilados de metal padronizados;Baixo Risco
2592602;Fabricação de produtos de trefilados de metal, exceto padronizados;Baixo Risco
2593400;Fabricação de artigos de metal para uso doméstico e pessoal;Baixo Risco
2599301;Serviços de confecção de armações metálicas para a construção;Baixo Risco
2599302;Serviço de corte e dobra de metais;Baixo Risco
2599399;Fabricação de outros produtos de metal não especificados anteriormente;Baixo Risco
2610800;Fabricação de componentes eletrônicos;Baixo Risco
2621300;Fabricação de equipamentos de informática;Baixo Risco
2622100;Fabricação de periféricos para equipamentos de informática;Baixo Risco
2631100;Fabricação de equipamentos transmissores de comunicação, peças e acessórios;Baixo Risco
2651500;Fabricação de aparelhos e equipamentos de medida, teste e controle;Baixo Risco
2652300;Fabricação de cronômetros e relógios;Baixo Risco
2670101;Fabricação de equipamentos e instrumentos ópticos, peças e acessórios;Baixo Risco
2670102;Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios;Baixo Risco
2680900;Fabricação de mídias virgens, magnéticas e ópticas;Baixo Risco
2710401;Fabricação de geradores de corrente contínua e alternada, peças e acessórios;Baixo Risco
2710403;Fabricação de motores elétricos, peças e acessórios;Baixo Risco
2722801;Fabricação de baterias e acumuladores para veículos automotores;Baixo Risco
2722802;Recondicionamento de baterias e acumuladores para veículos automotores;Baixo Risco
2731700;Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;Baixo Risco
2732500;Fabricação de material elétrico para instalações em circuito de consumo;Baixo Risco
2733300;Fabricação de fios, cabos e condutores elétricos isolados;Baixo Risco
2740601;Fabricação de lâmpadas;Baixo Risco
2740602;Fabricação de luminárias e outros equipamentos de iluminação;Baixo Risco
2759701;Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios;Baixo Risco
2790202;Fabricação de equipamentos para sinalização e alarme;Baixo Risco
2813500;Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios;Baixo Risco
2814301;Fabricação de compressores para uso industrial, peças e acessórios;Baixo Risco
2814302;Fabricação de compressores para uso não industrial, peças e acessórios;Baixo Risco
2815101;Fabricação de rolamentos para fins industriais;Baixo Risco
2815102;Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos;Baixo Risco
2821602;Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios;Baixo Risco
2824101;Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial;Baixo Risco
2824102;Fabricação de aparelhos e equipamentos de ar condicionado para uso não industrial;Baixo Risco
2831300;Fabricação de tratores agrícolas, peças e acessórios;Baixo Risco
2832100;Fabricação de equipamentos para irrigação agrícola, peças e acessórios;Baixo Risco
2840200;Fabricação de máquinas-ferramenta, peças e acessórios;Baixo Risco
2853400;Fabricação de tratores, peças e acessórios, exceto agrícolas;Baixo Risco
2863100;Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios;Baixo Risco
2866600;Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios;Baixo Risco
2910701;Fabricação de automóveis, camionetas e utilitários;Baixo Risco
2910702;Fabricação de chassis com motor para automóveis, camionetas e utilitários;Baixo Risco
2910703;Fabricação de motores para automóveis, camionetas e utilitários;Baixo Risco
2920401;Fabricação de caminhões e ônibus;Baixo Risco
2920402;Fabricação de motores para caminhões e ônibus;Baixo Risco
2930101;Fabricação de cabines, carrocerias e reboques para caminhões;Baixo Risco
2930102;Fabricação de carrocerias para ônibus;Baixo Risco
2941700;Fabricação de peças e acessórios para o sistema motor de veículos automotores;Baixo Risco
2943300;Fabricação de peças e acessórios para o sistema de freios de veículos automotores;Baixo Risco
2945000;Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;Baixo Risco
